postal,name,lat,lng,province
1770,Liedekerke,50.86891,4.08729,Vlaams-Brabant
1780,Wemmel,50.91032,4.30096,Vlaams-Brabant
1785,Brussegem,50.92574,4.26608,Vlaams-Brabant
1785,Hamme,50.92042,4.28061,Vlaams-Brabant
1785,Merchtem,50.95842,4.23244,Vlaams-Brabant
1790,Affligem,50.9084,4.11281,Vlaams-Brabant
1790,Essene,50.9015743,4.1364265,Vlaams-Brabant
1790,Hekelgem,50.9072267,4.1084956,Vlaams-Brabant
1790,Teralfene,50.8922688,4.0987022,Vlaams-Brabant
1800,Peutie,50.927361,4.455442,Vlaams-Brabant
1800,Vilvoorde,50.9272511,4.4257868,Vlaams-Brabant
1804,Cargovil,50.947259,4.427268,Vlaams-Brabant
1818,Vtm,50.9136056,4.3981412,Vlaams-Brabant
1820,Melsbroek,50.91535,4.4787175,Vlaams-Brabant
1820,Perk,50.93488,4.49592,Vlaams-Brabant
1820,Steenokkerzeel,50.90793,4.51349,Vlaams-Brabant
1830,Machelen,50.9125185,4.4376749,Vlaams-Brabant
1831,Diegem,50.8940397,4.4362628,Vlaams-Brabant
1840,Londerzeel,51.00311,4.3026,Vlaams-Brabant
1840,Malderen,51.02033,4.24629,Vlaams-Brabant
1840,Steenhuffel,50.99577,4.26716,Vlaams-Brabant
1850,Grimbergen,50.9356235,4.3785596,Vlaams-Brabant
1851,Humbeek,50.9672327,4.3795118,Vlaams-Brabant
1852,Beigem,50.9528364,4.3660653,Vlaams-Brabant
1853,Strombeek-Bever,50.910465,4.357792,Vlaams-Brabant
1860,Meise,50.9478621,4.3302827,Vlaams-Brabant
1861,Wolvertem,50.95088,4.30927,Vlaams-Brabant
1880,Kapelle-Op-Den-Bos,51.01324,4.35541,Vlaams-Brabant
1880,Nieuwenrode,50.97857,4.35229,Vlaams-Brabant
1880,Ramsdonk,51.01483,4.33519,Vlaams-Brabant
1910,Berg,50.9316005,4.5377032,Vlaams-Brabant
1910,Buken,50.9403268,4.6169484,Vlaams-Brabant
1910,Kampenhout,50.9338827,4.5605498,Vlaams-Brabant
1910,Nederokkerzeel,50.9220293,4.5633381,Vlaams-Brabant
1930,Nossegem,50.8781921,4.5074739,Vlaams-Brabant
1930,Zaventem,50.8795024,4.4826212,Vlaams-Brabant
1931,Brucargo,50.903293,4.452214,Vlaams-Brabant
1932,Sint-Stevens-Woluwe,50.8691972,4.4502354,Vlaams-Brabant
1933,Sterrebeek,50.8654294,4.47262,Vlaams-Brabant
1934,Office Exchange Brussels Airport Remailing,50.8969448,4.4843148,Vlaams-Brabant
1935,Corporate Village,50.889898,4.4580055,Vlaams-Brabant
1950,Kraainem,50.8610856,4.4592974,Vlaams-Brabant
1970,Wezembeek-Oppem,50.85092,4.48742,Vlaams-Brabant
1980,Eppegem,50.9621231,4.4544329,Vlaams-Brabant
